,CO,NO,NO2,NOx,O3,PM2.5
263,9.5,0.0,24.0,24.0,26.0,99.0
264,9.5,0.0,28.0,28.0,20.0,100.0
265,8.4,1.0,23.0,24.0,19.0,88.0
266,8.4,0.0,24.0,24.0,16.0,79.0
267,,,,,,76.0
268,8.6,6.0,29.0,35.0,8.0,83.0
269,8.7,7.0,30.0,36.0,7.0,79.0
270,9.1,6.0,33.0,39.0,9.0,75.0
271,10.7,33.0,45.0,79.0,4.0,78.0
272,10.1,21.0,39.0,60.0,13.0,84.0
273,9.3,10.0,29.0,39.0,23.0,77.0
274,8.5,4.0,23.0,27.0,36.0,79.0
275,8.4,4.0,22.0,26.0,46.0,83.0
276,8.2,3.0,23.0,26.0,50.0,79.0
277,7.8,2.0,19.0,20.0,60.0,80.0
278,7.6,1.0,19.0,20.0,65.0,72.0
279,8.2,2.0,26.0,27.0,57.0,73.0
280,9.6,1.0,30.0,31.0,46.0,84.0
281,12.0,5.0,55.0,60.0,18.0,90.0
282,13.4,6.0,66.0,71.0,6.0,89.0
283,12.5,6.0,65.0,70.0,6.0,91.0
284,11.8,2.0,58.0,60.0,9.0,90.0
285,12.2,3.0,59.0,62.0,8.0,94.0
286,12.8,6.0,61.0,67.0,3.0,85.0
287,11.8,4.0,52.0,56.0,5.0,80.0
288,10.3,2.0,47.0,49.0,4.0,88.0
289,10.1,1.0,37.0,38.0,9.0,95.0
290,10.1,1.0,32.0,33.0,11.0,97.0
291,,,,,,96.0
292,10.1,2.0,38.0,40.0,4.0,95.0
293,11.1,13.0,44.0,58.0,2.0,93.0
294,12.4,34.0,50.0,84.0,2.0,87.0
295,13.5,42.0,53.0,95.0,3.0,86.0
296,11.5,24.0,47.0,72.0,11.0,92.0
297,8.1,5.0,30.0,35.0,28.0,78.0
298,8.4,7.0,29.0,36.0,29.0,83.0
299,8.3,4.0,26.0,31.0,36.0,81.0
300,7.6,4.0,31.0,35.0,33.0,67.0
301,6.5,3.0,23.0,27.0,38.0,49.0
302,6.4,3.0,23.0,27.0,41.0,50.0
303,7.4,3.0,29.0,32.0,37.0,54.0
304,9.1,1.0,34.0,35.0,35.0,78.0
305,11.5,7.0,57.0,64.0,11.0,82.0
306,13.3,12.0,63.0,75.0,5.0,88.0
307,14.3,43.0,65.0,107.0,3.0,88.0
308,14.0,15.0,61.0,76.0,6.0,87.0
309,11.4,3.0,55.0,58.0,8.0,80.0
310,10.2,1.0,44.0,45.0,13.0,74.0
311,9.1,2.0,38.0,40.0,14.0,71.0
312,10.6,6.0,47.0,53.0,4.0,77.0
313,9.8,5.0,42.0,47.0,6.0,85.0
314,,,,,,78.0
315,8.7,1.0,31.0,31.0,9.0,81.0
316,8.3,2.0,32.0,34.0,9.0,83.0
317,8.5,3.0,35.0,38.0,6.0,79.0
318,8.8,16.0,38.0,54.0,2.0,67.0
319,9.6,29.0,40.0,70.0,3.0,65.0
320,9.6,39.0,45.0,84.0,6.0,63.0
321,8.6,28.0,38.0,65.0,10.0,62.0
322,9.5,14.0,34.0,48.0,19.0,92.0
323,9.4,8.0,29.0,37.0,30.0,93.0
324,10.6,4.0,28.0,32.0,45.0,133.0
325,8.5,3.0,23.0,26.0,46.0,97.0
326,7.6,2.0,20.0,22.0,45.0,84.0
327,8.9,3.0,25.0,27.0,43.0,100.0
328,10.6,1.0,30.0,32.0,39.0,117.0
329,12.5,1.0,47.0,48.0,20.0,116.0
330,15.4,6.0,59.0,66.0,7.0,120.0
331,16.2,8.0,61.0,69.0,7.0,140.0
332,14.5,11.0,62.0,73.0,4.0,128.0
333,15.9,22.0,64.0,85.0,3.0,129.0
334,14.5,20.0,58.0,78.0,2.0,143.0
335,13.0,24.0,56.0,79.0,2.0,112.0
336,13.0,15.0,53.0,68.0,2.0,124.0
337,13.3,14.0,50.0,64.0,2.0,131.0
338,12.5,7.0,46.0,53.0,2.0,126.0
339,,,,,,101.0
340,9.4,7.0,38.0,44.0,3.0,87.0
341,9.8,13.0,39.0,52.0,2.0,74.0
342,10.1,19.0,42.0,61.0,2.0,72.0
343,12.8,42.0,45.0,87.0,2.0,75.0
344,12.2,38.0,45.0,83.0,4.0,94.0
345,10.4,17.0,36.0,53.0,14.0,117.0
346,10.2,10.0,31.0,41.0,20.0,126.0
347,11.6,6.0,31.0,37.0,30.0,151.0
348,13.5,5.0,34.0,39.0,39.0,189.0
349,12.9,3.0,29.0,32.0,47.0,181.0
350,13.9,2.0,27.0,29.0,49.0,198.0
351,14.3,3.0,31.0,34.0,44.0,204.0
352,13.8,1.0,29.0,30.0,42.0,196.0
353,13.7,1.0,33.0,34.0,34.0,189.0
354,13.6,1.0,30.0,31.0,33.0,188.0
355,13.5,1.0,34.0,35.0,26.0,184.0
356,15.4,3.0,49.0,52.0,9.0,178.0
357,15.4,1.0,47.0,49.0,10.0,171.0
358,14.4,1.0,40.0,41.0,15.0,167.0
359,13.9,0.0,35.0,36.0,17.0,168.0
360,13.5,1.0,38.0,39.0,12.0,161.0
361,13.3,1.0,37.0,38.0,13.0,162.0
362,12.2,0.0,31.0,32.0,15.0,158.0
363,,,,,,155.0
364,11.6,1.0,33.0,35.0,12.0,155.0
365,13.2,4.0,38.0,43.0,7.0,172.0
366,15.6,10.0,44.0,54.0,3.0,195.0
367,16.5,41.0,49.0,90.0,3.0,194.0
368,16.6,40.0,48.0,87.0,6.0,203.0
369,15.0,25.0,41.0,65.0,13.0,191.0
370,14.4,7.0,29.0,36.0,25.0,196.0
371,14.2,6.0,31.0,37.0,30.0,190.0
372,15.1,8.0,40.0,48.0,29.0,208.0
