,CO,NO,NO2,NOx,O3,PM2.5
671,1.9,0.0,1.0,1.0,36.0,1.0
672,1.9,0.0,1.0,1.0,38.0,1.0
673,1.9,0.0,1.0,1.0,39.0,4.0
674,1.9,0.0,1.0,1.0,41.0,5.0
675,,,,,,7.0
676,1.8,0.0,1.0,2.0,40.0,11.0
677,1.9,0.0,1.0,1.0,40.0,12.0
678,1.9,0.0,2.0,3.0,39.0,7.0
679,2.1,0.0,3.0,3.0,39.0,6.0
680,2.2,0.0,3.0,3.0,40.0,7.0
681,2.3,1.0,3.0,4.0,40.0,7.0
682,2.3,1.0,3.0,4.0,40.0,10.0
683,2.3,1.0,4.0,5.0,40.0,6.0
684,2.3,1.0,5.0,6.0,40.0,5.0
685,2.4,1.0,5.0,6.0,40.0,7.0
686,2.5,1.0,6.0,7.0,38.0,5.0
687,2.5,1.0,6.0,7.0,37.0,4.0
688,2.7,1.0,6.0,7.0,37.0,3.0
689,2.7,1.0,6.0,7.0,35.0,4.0
690,2.8,1.0,6.0,6.0,33.0,4.0
691,2.8,1.0,6.0,7.0,30.0,6.0
692,2.6,0.0,5.0,5.0,31.0,8.0
693,2.8,1.0,3.0,4.0,30.0,10.0
694,2.6,0.0,3.0,4.0,31.0,8.0
695,2.4,0.0,3.0,4.0,32.0,9.0
696,2.1,0.0,3.0,3.0,34.0,9.0
697,2.0,0.0,3.0,3.0,34.0,8.0
698,1.9,0.0,2.0,3.0,35.0,8.0
699,,,,,,8.0
700,1.9,1.0,4.0,5.0,32.0,6.0
701,2.0,1.0,7.0,8.0,30.0,6.0
702,2.6,1.0,11.0,13.0,26.0,11.0
703,3.1,3.0,17.0,21.0,22.0,10.0
704,2.9,4.0,14.0,17.0,25.0,9.0
705,2.7,5.0,11.0,16.0,28.0,8.0
706,2.0,3.0,6.0,9.0,32.0,7.0
707,2.0,2.0,5.0,7.0,33.0,4.0
708,2.0,2.0,5.0,8.0,32.0,6.0
709,2.3,2.0,5.0,6.0,33.0,6.0
710,2.2,2.0,5.0,7.0,33.0,5.0
711,2.3,1.0,6.0,7.0,33.0,9.0
712,2.8,1.0,9.0,10.0,30.0,9.0
713,2.9,1.0,9.0,10.0,29.0,7.0
714,2.7,1.0,9.0,9.0,30.0,5.0
715,2.6,1.0,7.0,7.0,33.0,5.0
716,2.7,0.0,6.0,7.0,33.0,6.0
717,2.8,0.0,8.0,8.0,31.0,3.0
718,3.2,1.0,10.0,10.0,28.0,4.0
719,3.4,0.0,11.0,11.0,25.0,5.0
