,CO,NO,NO2,NOx,O3,PM2.5
125,4.6,9.0,19.0,27.0,3.0,4.0
126,7.0,33.0,24.0,57.0,0.0,
127,12.3,68.0,31.0,99.0,1.0,18.0
128,13.7,64.0,40.0,104.0,4.0,0.0
129,4.0,8.0,14.0,22.0,26.0,4.0
130,3.3,4.0,12.0,16.0,32.0,8.0
131,2.7,2.0,8.0,10.0,39.0,9.0
132,2.6,2.0,9.0,11.0,42.0,6.0
133,2.9,3.0,11.0,14.0,42.0,5.0
134,4.4,6.0,19.0,26.0,29.0,
135,4.1,4.0,19.0,24.0,32.0,26.0
136,5.0,5.0,30.0,35.0,17.0,2.0
137,5.3,3.0,32.0,36.0,14.0,8.0
138,10.1,32.0,42.0,73.0,1.0,9.0
139,9.0,40.0,41.0,81.0,1.0,5.0
140,7.9,24.0,37.0,61.0,1.0,9.0
141,8.0,22.0,36.0,58.0,1.0,11.0
142,5.9,4.0,27.0,31.0,4.0,9.0
143,5.6,8.0,28.0,36.0,1.0,10.0
144,5.4,16.0,29.0,44.0,0.0,6.0
145,4.8,13.0,31.0,44.0,1.0,4.0
146,,,,,,21.0
147,4.1,1.0,16.0,17.0,6.0,2.0
148,3.9,1.0,18.0,20.0,4.0,3.0
149,4.6,6.0,21.0,27.0,2.0,1.0
150,7.4,28.0,27.0,55.0,0.0,-1.0
151,16.6,82.0,35.0,117.0,1.0,15.0
152,11.9,64.0,37.0,101.0,4.0,10.0
153,8.8,33.0,33.0,66.0,8.0,11.0
154,7.5,33.0,32.0,65.0,10.0,26.0
155,5.5,17.0,27.0,43.0,17.0,15.0
156,4.0,7.0,18.0,25.0,29.0,17.0
157,3.8,6.0,18.0,24.0,33.0,10.0
158,3.8,7.0,20.0,27.0,32.0,12.0
159,3.8,5.0,21.0,27.0,33.0,15.0
160,5.0,4.0,30.0,34.0,20.0,16.0
161,5.4,3.0,30.0,33.0,15.0,17.0
162,8.0,11.0,40.0,51.0,2.0,7.0
163,8.8,23.0,37.0,60.0,1.0,9.0
164,6.6,12.0,37.0,48.0,2.0,12.0
165,5.3,2.0,27.0,29.0,9.0,9.0
166,5.0,1.0,21.0,22.0,13.0,7.0
167,4.3,1.0,17.0,18.0,16.0,10.0
168,4.2,1.0,18.0,19.0,15.0,10.0
169,4.1,0.0,19.0,19.0,12.0,6.0
170,3.4,0.0,13.0,13.0,15.0,20.0
171,,,,,,1.0
172,4.4,1.0,16.0,17.0,14.0,-1.0
173,4.7,4.0,24.0,28.0,6.0,0.0
174,8.7,30.0,33.0,62.0,1.0,6.0
175,12.0,60.0,37.0,96.0,2.0,6.0
176,8.4,37.0,31.0,68.0,8.0,6.0
177,3.9,5.0,14.0,19.0,26.0,12.0
178,3.2,4.0,12.0,16.0,31.0,16.0
179,2.7,5.0,14.0,19.0,33.0,15.0
180,2.6,4.0,12.0,16.0,36.0,10.0
181,3.2,3.0,13.0,16.0,38.0,7.0
182,3.2,6.0,13.0,19.0,37.0,21.0
183,3.6,2.0,11.0,13.0,41.0,21.0
184,5.4,3.0,18.0,21.0,35.0,23.0
185,9.0,11.0,45.0,55.0,8.0,33.0
186,9.8,21.0,46.0,67.0,2.0,34.0
187,6.8,2.0,32.0,34.0,14.0,39.0
188,6.5,2.0,30.0,32.0,13.0,42.0
189,5.9,3.0,26.0,29.0,13.0,21.0
190,6.0,3.0,24.0,27.0,13.0,34.0
191,5.1,1.0,23.0,25.0,11.0,27.0
192,4.3,0.0,16.0,16.0,16.0,17.0
193,4.1,0.0,14.0,14.0,16.0,24.0
194,4.3,12.0,14.0,26.0,16.0,25.0
195,,,,,,27.0
196,8.9,1.0,18.0,19.0,11.0,41.0
197,11.4,5.0,25.0,29.0,7.0,65.0
198,16.5,20.0,28.0,48.0,4.0,94.0
199,21.9,68.0,32.0,100.0,3.0,117.0
200,22.5,88.0,42.0,130.0,3.0,127.0
201,13.2,11.0,26.0,38.0,20.0,138.0
202,10.1,2.0,16.0,19.0,40.0,123.0
203,9.7,1.0,12.0,13.0,53.0,115.0
204,9.9,1.0,15.0,16.0,60.0,100.0
205,9.9,1.0,19.0,20.0,62.0,97.0
206,9.6,1.0,18.0,19.0,62.0,112.0
207,9.9,2.0,25.0,27.0,52.0,93.0
208,9.3,1.0,30.0,31.0,38.0,99.0
209,10.8,4.0,51.0,54.0,10.0,84.0
210,15.6,12.0,60.0,73.0,3.0,66.0
211,14.8,13.0,55.0,68.0,3.0,89.0
212,11.9,6.0,45.0,52.0,6.0,97.0
213,10.7,2.0,37.0,38.0,11.0,75.0
214,10.9,2.0,35.0,37.0,9.0,83.0
215,10.4,5.0,37.0,42.0,5.0,80.0
216,9.7,5.0,35.0,40.0,4.0,82.0
217,9.8,0.0,26.0,26.0,12.0,71.0
218,10.1,1.0,26.0,27.0,8.0,100.0
219,,,,,,85.0
220,10.9,5.0,31.0,36.0,4.0,97.0
221,11.2,2.0,30.0,32.0,5.0,103.0
222,13.0,16.0,33.0,49.0,2.0,114.0
223,17.1,32.0,32.0,65.0,2.0,127.0
224,16.2,42.0,39.0,81.0,3.0,124.0
225,13.3,21.0,36.0,57.0,10.0,118.0
226,9.0,4.0,22.0,26.0,30.0,90.0
227,8.3,3.0,20.0,23.0,32.0,91.0
228,7.6,2.0,16.0,18.0,41.0,92.0
229,7.6,1.0,15.0,16.0,40.0,86.0
230,8.8,2.0,21.0,23.0,37.0,69.0
231,9.2,1.0,21.0,22.0,33.0,86.0
232,11.0,3.0,31.0,34.0,24.0,73.0
233,15.5,19.0,47.0,66.0,4.0,104.0
234,14.6,12.0,47.0,59.0,2.0,93.0
235,11.8,3.0,37.0,40.0,8.0,88.0
236,9.0,1.0,28.0,29.0,19.0,75.0
237,9.8,0.0,26.0,27.0,20.0,54.0
238,13.0,6.0,39.0,45.0,4.0,71.0
239,11.8,11.0,39.0,50.0,1.0,66.0
240,10.9,3.0,33.0,36.0,3.0,69.0
241,10.8,1.0,26.0,27.0,8.0,81.0
242,10.9,1.0,22.0,23.0,13.0,110.0
243,,,,,,108.0
244,9.2,0.0,18.0,18.0,16.0,87.0
245,8.0,0.0,16.0,16.0,17.0,66.0
246,6.4,0.0,13.0,14.0,20.0,43.0
247,6.9,2.0,18.0,20.0,15.0,34.0
248,6.6,5.0,17.0,22.0,18.0,35.0
249,5.1,2.0,10.0,12.0,31.0,27.0
250,4.5,2.0,7.0,9.0,39.0,29.0
251,4.3,2.0,5.0,8.0,46.0,44.0
252,3.8,1.0,5.0,6.0,46.0,27.0
253,3.8,0.0,4.0,5.0,49.0,27.0
254,5.3,1.0,6.0,6.0,52.0,57.0
255,6.0,0.0,6.0,7.0,50.0,65.0
256,6.4,1.0,11.0,12.0,43.0,58.0
257,10.5,3.0,32.0,35.0,18.0,69.0
258,8.5,2.0,27.0,28.0,20.0,64.0
259,8.3,1.0,24.0,25.0,20.0,64.0
260,7.6,1.0,26.0,28.0,18.0,55.0
261,7.7,1.0,24.0,25.0,18.0,57.0
262,7.3,1.0,25.0,26.0,15.0,55.0
263,7.3,1.0,28.0,29.0,10.0,49.0
264,7.2,1.0,25.0,26.0,10.0,54.0
265,6.7,0.0,16.0,16.0,20.0,50.0
266,7.0,0.0,20.0,21.0,13.0,57.0
267,,,,,,62.0
268,8.7,1.0,26.0,27.0,7.0,73.0
269,9.4,4.0,29.0,33.0,4.0,72.0
270,12.0,23.0,35.0,59.0,1.0,77.0
271,18.4,74.0,42.0,116.0,1.0,69.0
272,16.3,62.0,48.0,109.0,4.0,76.0
273,10.0,9.0,30.0,38.0,21.0,81.0
274,9.2,5.0,23.0,28.0,35.0,85.0
275,8.2,3.0,20.0,23.0,44.0,95.0
276,8.7,2.0,17.0,18.0,54.0,86.0
277,9.0,2.0,17.0,19.0,61.0,83.0
278,8.4,1.0,15.0,16.0,67.0,81.0
279,8.3,1.0,18.0,19.0,65.0,
280,10.8,2.0,36.0,38.0,44.0,74.0
281,17.5,10.0,64.0,74.0,6.0,81.0
282,14.3,20.0,58.0,79.0,7.0,79.0
283,12.3,12.0,54.0,65.0,4.0,82.0
284,10.4,5.0,45.0,50.0,8.0,70.0
285,9.5,8.0,45.0,53.0,4.0,58.0
286,9.0,4.0,43.0,47.0,5.0,53.0
287,9.4,8.0,39.0,47.0,3.0,39.0
288,7.6,6.0,36.0,42.0,2.0,50.0
289,6.7,1.0,28.0,29.0,8.0,32.0
290,6.9,0.0,22.0,23.0,13.0,33.0
291,,,,,,33.0
292,7.4,1.0,26.0,27.0,7.0,35.0
293,8.2,5.0,32.0,36.0,4.0,30.0
294,15.0,33.0,38.0,72.0,0.0,28.0
295,21.5,92.0,48.0,141.0,1.0,33.0
296,18.4,80.0,49.0,129.0,2.0,44.0
297,,,,,,63.0
298,,,,,,65.0
299,9.1,16.0,43.0,58.0,19.0,65.0
300,7.6,6.0,32.0,38.0,32.0,64.0
