,CO,NO,NO2,NOx,O3,PM2.5
550,2.2,0.0,0.0,0.0,32.0,2.0
551,2.2,0.0,-1.0,0.0,32.0,4.0
552,2.1,0.0,-1.0,-1.0,32.0,4.0
553,2.1,0.0,0.0,0.0,31.0,5.0
554,2.1,0.0,0.0,0.0,30.0,5.0
555,,,,,,1.0
556,2.5,0.0,2.0,2.0,16.0,-2.0
557,2.2,0.0,1.0,1.0,28.0,-2.0
558,2.3,0.0,3.0,3.0,25.0,0.0
559,2.6,2.0,4.0,6.0,22.0,2.0
560,2.8,2.0,5.0,6.0,23.0,2.0
561,2.5,1.0,3.0,4.0,23.0,1.0
562,2.5,2.0,4.0,6.0,26.0,1.0
563,2.3,1.0,1.0,2.0,32.0,4.0
564,2.3,1.0,1.0,2.0,33.0,5.0
565,2.1,0.0,1.0,1.0,35.0,3.0
566,2.2,0.0,1.0,1.0,34.0,5.0
567,2.1,0.0,0.0,1.0,34.0,8.0
568,2.1,0.0,1.0,1.0,33.0,6.0
569,2.3,0.0,2.0,2.0,33.0,3.0
570,2.5,1.0,4.0,4.0,29.0,4.0
571,4.3,1.0,12.0,13.0,9.0,8.0
572,3.2,1.0,7.0,8.0,7.0,7.0
573,3.1,2.0,6.0,8.0,6.0,-2.0
574,3.8,2.0,8.0,10.0,3.0,3.0
575,3.9,5.0,8.0,12.0,1.0,5.0
576,3.6,6.0,6.0,13.0,0.0,-4.0
577,3.0,3.0,4.0,8.0,1.0,2.0
578,2.7,3.0,4.0,7.0,2.0,2.0
579,,,,,,3.0
580,2.9,4.0,4.0,9.0,0.0,4.0
581,3.6,10.0,3.0,14.0,0.0,0.0
582,3.9,16.0,3.0,19.0,0.0,2.0
583,5.1,20.0,3.0,23.0,0.0,3.0
584,5.4,13.0,7.0,20.0,4.0,3.0
585,3.3,4.0,7.0,11.0,16.0,25.0
586,3.1,3.0,6.0,9.0,19.0,20.0
587,3.8,6.0,7.0,13.0,15.0,11.0
588,3.8,5.0,6.0,12.0,17.0,13.0
589,2.9,3.0,5.0,8.0,24.0,13.0
590,3.0,2.0,4.0,6.0,24.0,11.0
591,2.7,2.0,7.0,9.0,25.0,9.0
592,2.9,1.0,10.0,11.0,20.0,7.0
593,5.3,5.0,20.0,26.0,5.0,6.0
594,5.2,6.0,18.0,24.0,3.0,8.0
595,5.5,4.0,15.0,19.0,2.0,8.0
596,6.1,13.0,16.0,29.0,0.0,17.0
597,6.3,16.0,13.0,29.0,0.0,9.0
598,4.3,6.0,11.0,17.0,1.0,7.0
599,4.0,7.0,10.0,17.0,0.0,7.0
600,4.0,9.0,7.0,16.0,0.0,5.0
601,3.2,3.0,6.0,9.0,1.0,2.0
602,4.1,8.0,6.0,14.0,0.0,3.0
603,,,,,,3.0
604,3.9,10.0,6.0,16.0,0.0,1.0
605,5.1,23.0,6.0,29.0,0.0,6.0
606,6.5,45.0,9.0,54.0,0.0,5.0
607,12.5,86.0,15.0,100.0,0.0,23.0
608,,,,,,
609,8.4,33.0,21.0,54.0,4.0,
610,6.4,33.0,21.0,54.0,6.0,23.0
611,4.5,15.0,16.0,31.0,11.0,10.0
612,4.1,10.0,15.0,25.0,16.0,11.0
613,4.6,11.0,19.0,29.0,16.0,12.0
614,4.3,8.0,19.0,26.0,18.0,16.0
615,4.2,8.0,20.0,27.0,13.0,14.0
616,4.5,4.0,22.0,25.0,11.0,14.0
617,6.7,9.0,33.0,43.0,2.0,17.0
618,8.1,26.0,30.0,55.0,1.0,20.0
619,6.3,11.0,22.0,33.0,0.0,10.0
620,8.8,35.0,20.0,55.0,0.0,18.0
621,7.6,36.0,17.0,53.0,0.0,11.0
622,5.5,14.0,14.0,28.0,0.0,9.0
623,5.6,8.0,13.0,22.0,0.0,9.0
624,6.0,16.0,13.0,29.0,0.0,11.0
625,5.7,19.0,9.0,28.0,0.0,9.0
626,4.8,11.0,9.0,20.0,0.0,2.0
627,,,,,,22.0
628,3.8,6.0,10.0,16.0,0.0,-5.0
629,4.6,5.0,12.0,17.0,1.0,-1.0
630,5.4,16.0,19.0,35.0,0.0,5.0
631,9.7,52.0,20.0,72.0,0.0,19.0
632,10.7,53.0,19.0,72.0,1.0,6.0
633,,,,,,19.0
634,,,,,,24.0
635,,,,,,7.0
636,,,,,,17.0
637,,,,,,14.0
638,,,,,,12.0
639,4.7,8.0,18.0,26.0,9.0,10.0
640,4.6,5.0,15.0,20.0,12.0,9.0
641,4.7,4.0,14.0,18.0,12.0,5.0
642,4.5,2.0,14.0,16.0,10.0,5.0
643,3.7,4.0,15.0,19.0,9.0,7.0
644,4.4,3.0,14.0,17.0,8.0,8.0
645,3.5,1.0,11.0,12.0,11.0,9.0
646,4.0,2.0,15.0,17.0,7.0,9.0
647,3.7,1.0,12.0,14.0,7.0,8.0
648,3.6,1.0,11.0,12.0,7.0,5.0
649,2.9,1.0,7.0,8.0,10.0,8.0
650,,,,,,12.0
651,2.6,1.0,6.0,7.0,10.0,6.0
652,3.2,1.0,13.0,14.0,5.0,6.0
653,3.5,3.0,14.0,17.0,6.0,11.0
654,3.8,5.0,20.0,25.0,3.0,11.0
655,4.2,11.0,21.0,32.0,6.0,15.0
656,4.6,8.0,20.0,28.0,9.0,1.0
657,4.0,7.0,13.0,20.0,13.0,8.0
658,3.3,3.0,11.0,14.0,19.0,11.0
659,2.8,3.0,9.0,13.0,23.0,7.0
660,2.3,1.0,4.0,5.0,33.0,8.0
661,2.6,2.0,6.0,8.0,32.0,7.0
662,2.8,2.0,7.0,9.0,29.0,5.0
663,2.5,1.0,5.0,6.0,30.0,5.0
664,3.3,1.0,9.0,11.0,23.0,-1.0
665,3.8,2.0,14.0,16.0,16.0,3.0
666,2.7,1.0,8.0,9.0,24.0,7.0
667,2.7,1.0,6.0,6.0,24.0,-2.0
668,2.5,1.0,5.0,6.0,23.0,1.0
669,2.2,1.0,3.0,4.0,28.0,2.0
670,2.2,0.0,3.0,3.0,24.0,4.0
671,2.1,0.0,2.0,3.0,25.0,12.0
672,2.1,0.0,1.0,1.0,34.0,5.0
673,1.8,0.0,1.0,1.0,38.0,0.0
674,1.8,0.0,1.0,1.0,40.0,3.0
675,,,,,,4.0
676,2.0,0.0,1.0,1.0,37.0,9.0
677,1.9,0.0,1.0,2.0,38.0,7.0
678,2.0,1.0,3.0,4.0,36.0,2.0
679,2.2,1.0,4.0,5.0,36.0,2.0
680,2.5,2.0,5.0,7.0,34.0,5.0
681,2.4,2.0,6.0,8.0,34.0,1.0
682,3.0,2.0,7.0,8.0,35.0,2.0
683,2.6,1.0,6.0,7.0,33.0,6.0
684,3.1,2.0,7.0,9.0,32.0,2.0
685,2.7,1.0,5.0,6.0,37.0,4.0
686,2.3,1.0,4.0,4.0,38.0,4.0
687,2.5,1.0,5.0,7.0,36.0,0.0
688,2.9,1.0,7.0,8.0,33.0,-1.0
689,2.5,1.0,6.0,6.0,34.0,1.0
690,2.3,1.0,5.0,6.0,34.0,3.0
691,2.1,1.0,3.0,3.0,35.0,3.0
692,2.3,1.0,3.0,4.0,33.0,3.0
693,2.4,1.0,2.0,2.0,32.0,1.0
694,2.2,0.0,2.0,3.0,34.0,6.0
695,2.1,0.0,2.0,2.0,35.0,1.0
696,1.9,0.0,1.0,1.0,36.0,18.0
697,1.9,0.0,1.0,2.0,36.0,-7.0
698,1.8,0.0,1.0,2.0,37.0,0.0
699,,,,,,21.0
700,2.0,0.0,5.0,5.0,32.0,10.0
701,2.2,1.0,6.0,7.0,32.0,7.0
702,2.5,1.0,11.0,12.0,28.0,24.0
703,4.3,3.0,15.0,18.0,24.0,5.0
704,4.4,5.0,17.0,22.0,23.0,17.0
705,3.4,4.0,9.0,13.0,29.0,12.0
706,2.9,3.0,7.0,9.0,31.0,10.0
707,2.8,3.0,7.0,10.0,31.0,20.0
708,3.2,2.0,7.0,9.0,32.0,3.0
709,2.9,2.0,6.0,9.0,32.0,3.0
710,2.9,2.0,6.0,7.0,33.0,3.0
711,2.5,1.0,5.0,6.0,33.0,3.0
712,2.6,1.0,6.0,7.0,33.0,5.0
713,2.6,1.0,7.0,7.0,31.0,3.0
714,2.6,1.0,8.0,9.0,30.0,-3.0
715,2.5,1.0,7.0,7.0,31.0,4.0
716,2.4,0.0,6.0,6.0,32.0,4.0
717,3.0,0.0,9.0,9.0,27.0,-2.0
718,3.8,1.0,14.0,14.0,20.0,5.0
719,4.6,1.0,17.0,18.0,11.0,6.0
